SOC,OCP [V]
0.026694045,1.001338688
0.051334702,0.994645248
0.069815195,0.986613119
0.088295688,0.96519411
0.09650924,0.922356091
0.09650924,0.882195448
0.098562628,0.785809906
0.098562628,0.75502008
0.100616016,0.599732262
0.102669405,0.586345382
0.108829569,0.567603748
0.123203285,0.558232932
0.131416838,0.547523427
0.133470226,0.523427041
0.135523614,0.497991968
0.13963039,0.452476573
0.137577002,0.414993307
0.13963039,0.390896921
0.137577002,0.346720214
0.13963039,0.330655957
0.145790554,0.318607764
0.149897331,0.298527443
0.158110883,0.281124498
0.174537988,0.238286479
0.188911704,0.214190094
0.199178645,0.199464525
0.221765914,0.172690763
0.22587269,0.15394913
0.22587269,0.140562249
0.229979466,0.124497992
0.234086242,0.116465863
0.248459959,0.111111111
0.262833676,0.104417671
0.285420945,0.099062918
0.301848049,0.09103079
0.324435318,0.084337349
0.351129363,0.076305221
0.373716632,0.06961178
0.388090349,0.068273092
0.414784394,0.058902276
0.433264887,0.053547523
0.447638604,0.049531459
0.468172485,0.045515395
0.50513347,0.038821954
0.544147844,0.033467202
0.577002053,0.030789826
0.626283368,0.025435074
0.702258727,0.022757697
0.735112936,0.018741633
0.776180698,0.017402945
0.81724846,0.018741633
0.876796715,0.017402945
0.930184805,0.014725569
0.967145791,0.014725569
0.993839836,0.013386881
