t [s],I [A]
0,-0.001392538
1,-0.001392538
2,-0.001392538
3,-0.001392538
4,-0.001392538
5,-0.001392538
6,-0.001496306
7,-0.002756654
8,-0.003761206
9,-0.006196258
10,-0.07152874
11,-0.285395887
12,-0.497523201
13,-0.522696354
14,0.034199148
15,-0.395302274
16,-0.510965758
17,-0.350828848
18,-0.317106709
19,-0.335057657
20,-0.288811344
21,-0.435019117
22,-0.337063852
23,-0.135164803
24,0.064809542
25,0.064155386
26,0.277209323
27,0.102316414
28,0.06023218
29,-0.053129269
30,-0.177707465
31,0.006632551
32,-0.053923337
33,0.253812956
34,0.458780145
35,0.452603083
36,0.429844388
37,0.321265971
38,0.273609168
39,0.161075935
40,0.051103209
41,0.00055957
42,-0.001392538
43,-0.001392538
44,-0.001392538
45,-0.001392538
46,-0.001392538
47,-0.001392538
48,-0.001392538
49,-0.002766675
50,-0.131256367
51,-0.330330109
52,-0.237523738
53,-0.346575876
54,-0.523027075
55,-0.52804589
56,-0.354578628
57,-0.529041888
58,-0.614238147
59,-0.602427032
60,-0.481636301
61,-0.315241316
62,-0.443605651
63,-0.421738048
64,-0.4590669
65,-0.389430521
66,-0.356628194
67,-0.275148266
68,-0.030184312
69,-0.119482219
70,-0.007409576
71,0.051406456
72,0.05152273
73,-0.048322688
74,-0.134867058
75,-0.048322688
76,0.051628531
77,0.14284513
78,-0.023136416
79,-0.064226463
80,-0.063990792
81,-0.105315959
82,-0.105631111
83,-0.189867382
84,-0.277619178
85,-0.414811942
86,-0.518996105
87,-0.562777951
88,-0.536457495
89,-0.530398262
90,-0.599258837
91,-0.647082805
92,-0.561533834
93,-0.578042363
94,-0.424640837
95,-0.204992039
96,-0.177616973
97,-0.036592059
98,0.376307921
99,0.27644187
100,0.249698683
101,0.157943614
102,0.156763466
103,0.219128893
104,0.257045771
105,0.231940955
106,0.246968554
107,0.203754117
108,0.236536446
109,0.21299354
110,0.225136155
111,0.185776398
112,0.213495769
113,0.299343202
114,0.371890426
115,0.268051023
116,0.099238742
117,0.096920548
118,0.119136382
119,0.560019035
120,0.496243837
121,0.327794198
122,0.243870168
123,0.199886031
124,0.123761287
125,0.045220715
126,0.006309073
127,0.002264019
128,0.00055957
129,-0.001392538
130,-0.001392538
131,-0.001392538
132,-0.001392538
133,-0.001392538
134,-0.001392538
135,-0.001392538
136,-0.016280274
137,-0.162099513
138,-0.363492355
139,-0.534171494
140,-0.705098247
141,-0.67328755
142,-0.719146308
143,-0.743218371
144,-0.470181725
145,-0.345130967
146,-0.299777753
147,-0.367900156
148,-0.23851591
149,-0.325494087
150,-0.229292786
151,-0.169701382
152,-0.171457519
153,-0.259227328
154,-0.090144933
155,-0.090144933
156,-0.264076156
157,-0.470584247
158,-0.233789497
159,-0.37618232
160,-0.173286577
161,-0.388132388
162,-0.179959404
163,-0.181314409
164,-0.182676308
165,0.07055559
166,0.192634423
167,-0.057140735
168,-0.033456522
169,0.011216566
170,-0.146712125
171,0.090341775
172,-0.189624546
173,-0.008590902
174,-0.075806034
175,-0.030370974
176,-0.142430424
177,-0.143202399
178,-0.053162215
179,-0.030184312
180,-0.074475508
181,-0.074211558
182,0.127718432
183,0.032775568
184,-0.17859055
185,0.364514537
186,-0.621617413
187,-0.314187633
188,-0.389583211
189,-0.330366515
190,-0.12615802
191,-0.409533558
192,-0.227031829
193,-0.375764796
194,-0.210949426
195,-0.237769069
196,-0.265550251
197,-0.117963585
198,-0.168181402
199,0.005498781
200,-0.191934356
201,-0.269096572
202,-0.019176907
203,-0.143840061
204,-0.169484209
205,-0.400119277
206,-0.072371712
207,-0.174323246
208,-0.175213641
209,-0.176107313
210,-0.228985789
211,-0.231110405
212,-0.312482667
213,-0.130812636
214,-0.237021826
215,0.406002176
216,0.003565658
217,-0.198603678
218,-0.174323246
219,-0.021190514
220,-0.276275871
221,-0.098675338
222,-0.047007069
223,-0.200053437
224,0.069563372
225,-0.274470128
226,-0.097696939
227,-0.148633017
228,-0.072086495
229,-0.173879275
230,0.047698184
231,-0.146221977
232,-0.248820538
233,-0.148633017
234,-0.200538322
235,-0.253898938
236,-0.204446974
237,0.135944005
238,-0.174768035
239,0.135393375
240,-0.272671686
241,0.026040178
242,-0.272671686
243,-0.071235745
244,0.004410941
245,-0.145027396
246,-0.094805749
247,-0.195726083
248,-0.146221977
249,-0.095762179
250,0.069891794
251,-0.117963585
252,-0.218559065
253,-0.094172161
254,0.026961308
255,-0.166885787
256,-0.09260223
257,-0.11725942
258,-0.14226816
259,-0.042704367
260,-0.216512419
261,-0.193350253
262,0.005365234
263,-0.11725942
264,-0.14226816
265,0.005895273
266,-0.340934535
267,-0.119025824
268,0.005365234
269,-0.242702733
270,-0.018588587
271,-0.042704367
272,-0.066821216
273,-0.091052226
274,-0.190057621
275,-0.116558439
276,-0.116558439
277,-0.091669847
278,-0.216002746
279,-0.067633318
280,-0.116908532
281,-0.166885787
282,-0.19287749
283,-0.093541787
284,-0.396933975
285,-0.276275871
286,-0.253898938
287,-0.204446974
288,-0.33758263
289,-0.183375915
290,-0.371425388
291,-0.188497862
292,-0.216493723
293,-0.354502555
294,-0.139815356
295,-0.277288718
296,-0.224798759
297,-0.226380866
298,-0.795079903
299,-0.269327627
300,-0.981104213
301,0.442758592
302,-0.041738424
303,-0.156144129
304,-0.098305877
305,-0.300167071
306,-0.244875462
307,-0.129599088
308,0.088447778
309,-0.039531262
310,-0.06694803
311,-0.151399792
312,-0.094444042
313,-0.179006638
314,-0.150973965
315,-0.208009336
316,-0.410466494
317,-0.300802613
318,-0.451090463
319,-0.519469824
320,-0.439442538
321,-0.662917399
322,-0.523101078
323,-0.469659673
324,0.136415457
325,0.429111621
326,-0.05178847
327,-0.415385319
328,-0.545906682
329,-0.305907712
330,-0.529610507
331,-0.315748084
332,-0.318410442
333,-0.192575129
334,-0.321089066
335,-0.194627994
336,0.053233247
337,-0.190538598
338,-0.063306132
339,-0.061927933
340,0.136730008
341,0.13722573
342,0.423271492
343,0.28984658
344,0.310986662
345,0.638224724
346,0.160219598
347,-0.21242402
348,0.022554065
349,-0.078249638
350,-0.209908091
351,-0.10504495
352,-0.398317495
353,-0.215982016
354,-0.381161231
355,-0.139815356
356,-0.249714123
357,-0.00415126
358,-0.112079764
359,-0.111719832
360,0.090830824
361,0.045092691
362,-0.052627319
363,-0.025464451
364,-0.208907627
365,-0.237021826
366,-0.0261344
367,-0.210409587
368,-0.319089088
369,-0.269537661
370,-0.245247792
371,-0.192765554
372,-0.248592325
373,-0.250839415
374,-0.059512771
375,-0.362422802
376,-0.144283237
377,-0.144283237
378,-0.312018264
379,-0.259391513
380,-0.204992039
381,-0.23441137
382,0.016554019
383,-0.232789159
384,-0.064507711
385,0.017493758
386,-0.201512786
387,-0.202502385
388,-0.007098095
389,-0.061538364
390,-0.311367032
391,-0.090356378
392,-0.089687658
393,-0.256518646
394,-0.230638789
395,-0.147599899
396,-0.147599899
397,-0.374133314
398,-0.09409844
399,-0.178542512
400,-0.093753744
401,-0.20649662
402,-0.236041706
403,-0.180404458
404,-0.009763378
405,-0.26403472
406,-0.295115787
407,-0.21157083
408,-0.357689471
409,-0.070718108
410,-0.156580941
411,-0.09866246
412,-0.126809247
413,-0.126414392
414,-0.357689471
415,-0.216215945
416,-0.275897695
417,0.138188155
418,0.014589805
419,0.015586114
420,-0.0088605
421,-0.176695043
422,-0.262286761
423,0.040925054
424,-0.374133314
425,0.065171558
426,-0.175776712
427,0.161952607
428,-0.060087094
429,0.019721443
430,-0.16678909
431,-0.112440567
432,-0.003140645
433,-0.029126097
434,-0.189912672
435,-0.163726312
436,-0.137027244
437,-0.028890817
438,-0.081625769
439,0.045187665
440,-0.211919142
441,-0.026585267
442,-0.184762629
443,8.74E-05
444,-0.183375915
445,0.023303324
446,0.619337824
447,-0.116908532
448,0.070216494
449,-0.040425984
450,-0.186803712
451,-0.040425984
452,-0.186803712
453,-0.114129933
454,-0.21296132
455,-0.115512915
456,-0.115512915
457,-0.115512915
458,-0.214985779
459,-0.017433556
460,-0.214985779
461,-0.217022886
462,-0.018200384
463,-0.217022886
464,-0.018200384
465,-0.217022886
466,-0.118316864
467,-0.219072722
468,-0.018979997
469,-0.018200384
470,0.133965771
471,0.236713548
472,0.050281978
473,0.309685729
474,0.128766972
475,0.221768116
476,0.397429611
477,0.32926333
478,0.000712342
479,0.134298434
480,0.369570633
481,0.451610844
482,0.53577063
483,0.279978502
484,0.147860828
485,0.373033429
486,0.585637539
487,0.29687526
488,0.006151496
489,0.16225561
490,0.153349139
491,0.10191003
492,0.050305896
493,0.004625492
494,-0.001392538
495,-0.001392538
496,-0.001392538
497,-0.001392538
498,-0.001392538
499,-0.001392538
500,-0.001392538
501,-0.001496306
502,-0.042371586
503,-0.174053155
504,-0.297374755
505,-0.399333768
506,-0.421577438
507,-0.306506632
508,-0.090685899
509,0.103067816
510,0.150478691
511,0.170603873
512,0.340913116
513,0.269807694
514,0.128648423
515,-0.026168526
516,-0.144903451
517,-0.243109869
518,-0.337912823
519,-0.404927602
520,-0.328346333
521,-0.189994723
522,-0.001603441
523,0.21235598
524,0.293402617
525,0.27603406
526,0.248854369
527,0.145392007
528,0.031668176
529,0.043097798
530,0.004462353
531,-0.007330415
532,-0.088318775
533,-0.199555544
534,-0.302314708
535,-0.399373757
536,-0.427822957
537,-0.225685809
538,-0.068108087
539,0.055705126
540,0.212406333
541,0.299943638
542,0.287335568
543,0.23693776
544,0.09836555
545,0.023728617
546,0.000814551
547,-0.136452989
548,-0.236034549
549,-0.287089391
550,-0.375065774
551,-0.415761796
552,-0.461240648
553,-0.014122062
554,0.33553994
555,0.358704698
556,0.310786302
557,0.214548367
558,0.139658088
559,0.058054256
560,0.009126104
561,-0.001392538
562,-0.001392538
563,-0.001392538
564,-0.001392538
565,-0.001392538
566,-0.001392538
567,-0.001392538
568,-0.001608131
569,-0.086514692
570,-0.251769887
571,-0.432718336
572,-0.420511704
573,-0.488549699
574,-0.884053981
575,-0.42430143
576,-0.488493426
577,-0.861253754
578,-1
579,-0.425507129
580,-0.001487624
581,0.034095994
582,0.051575684
583,0.287104885
584,0.448846291
585,0.448677138
586,0.415129571
587,0.49880776
588,0.537837796
589,0.355950442
590,0.337298452
591,0.306620369
592,0.210927139
593,0.05288893
594,0.005987497
595,-0.001392538
596,-0.001392538
597,-0.001392538
598,-0.001392538
599,-0.001392538
600,-0.001392538
